link,price,area,room,toilet,address,lat,long
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-mt-dinh-thi-hoa-gan-bai-tam-pham-van-dong-an-hai-bac-son-tra-id21948409,8 tỷ 700 triệu,91 m2,0 PN,0 WC,"Đinh Thị Hòa, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.07285,108.23704
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-lo-dat-bien-mt-an-thuong-14-gan-ngo-thi-si-my-an-nhs-gia-4-6-ty-id21899646,4 tỷ 600 triệu,52 m2,0 PN,0 WC,"An Thượng 14, Bắc Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04969,108.24818
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/ban-nha-2-tang-mat-tien-thanh-luong-16-hoa-xuan-chi-4-45-ty-id22048461,4 tỷ 450 triệu,100 m2,3 PN,2 WC,"Thanh Lương 16, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",16.0096,108.22451
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-lo-dat-mat-tien-doan-khue-duong-10m5-gan-k20-nam-viet-a-khue-my-id21905263,4 tỷ 800 triệu,100 m2,0 PN,0 WC,"Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02611,108.24381
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-dep-2-tang-mt-an-thuong-16-khu-pho-tay-gan-bien-my-an-4-9-ty-id21983096,4 tỷ 900 triệu,64 m2,2 PN,3 WC,"An Thượng 16, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04779,108.24168
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-dep-2-tang-mat-tien-an-thuong-18-gan-do-ba-my-an-nhs-5-2-ty-id22138325,5 tỷ 200 triệu,53 m2,2 PN,2 WC,"An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.049,108.24005
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/giam-400tr-ban-dat-mt-nguyen-xuan-khoat-sat-pham-van-dong-son-tra-id22001845,7 tỷ 500 triệu,88 m2,0 PN,0 WC,"Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.06986,108.23666
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-dep-2-5-tang-mt-da-man-5-sat-bui-ta-han-khue-my-nam-viet-a-id22011397,4 tỷ 800 triệu,90 m2,3 PN,3 WC,"Đa Mặn 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.03093,108.24605
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-2-tang-mat-tien-bui-lam-gan-cho-nai-hien-dong-son-tra-3-45-ty-id22023991,3 tỷ 450 triệu,56 m2,3 PN,1 WC,"Bùi Lâm, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.08656,108.23388
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-3-tang-mat-tien-tran-phu-vi-tri-dep-kd-gan-cho-han-hai-chau-id22138408,15 tỷ 500 triệu,61 m2,3 PN,3 WC,"Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",16.06372,108.22344
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/giam-300tr-ban-dat-bien-2-lo-lk-mt-tan-thai-4-sat-ho-nghinh-son-tra-id21936616,10 tỷ 200 triệu,153 m2,0 PN,0 WC,"Tân Thái 4, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",16.08737,108.2457
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-mt-tran-van-dan-10m5-gan-cau-minh-mang-ngu-hanh-son-gia-tot-id22044336,4 tỷ 300 triệu,94 m2,0 PN,0 WC,"Trần Văn Thành, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",15.9829,108.27331
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-toa-can-ho-mt-duong-dinh-nghe-thu-nhap-hon-50-tr-th-son-tra-id21987662,16 tỷ 500 triệu,107 m2,18 PN,18 WC,"Dương Đình Nghệ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.0692,108.23681
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ban-nha-me-lung-mt-pham-van-bach-gan-song-hoa-cuong-nam-hai-chau-id21902075,4 tỷ 800 triệu,76 m2,2 PN,2 WC,"Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",16.03195,108.22642
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-85m2-kiet-oto-6m-duong-nhua-k70-bui-ta-han-khue-my-2-9-ty-id21941306,2 tỷ 900 triệu,85 m2,0 PN,0 WC,"Bùi Tá Hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02974,108.242
